color,l,a,b,subparent,parent
石榴红,42.83666667,54.157,28.74766667,红,赤
粉红,74.3701003,29.10674146,4.329662292,红,白
胭脂红,47.25924444,49.6160561,25.84256085,红,赤
茜红,49.4495,44.83033333,18.99283333,红,赤
茶色,45.5166,24.467,21.9278,红,赤
莲红,51.62039986,37.12392881,9.559676207,红,赤
豇豆红,58.88268692,40.27644256,20.02853842,红,赤
银红,59.2312,30.2776,13.1796,红,赤
驼色,52.99950964,13.39643758,13.39995103,红,黑
丁香紫,56.5905,11.462,-16.19325,紫,青
宝蓝,39.10647817,4.291488469,-33.938856,紫,黑
满天星紫,34.60120002,17.37327144,-34.14926564,紫,黑
玫瑰紫,38.41964851,42.14205633,-10.09503299,紫,赤
绀紫,27.06050314,23.67602646,-13.83579479,紫,黑
群青,34.55628571,7.748857143,-44.38057143,紫,黑
酱紫,29.01469506,25.26757411,2.510195315,紫,黑
雪青,58.392,16.15766667,-20.312,紫,青
青莲,43.12814099,33.36572613,-25.67886841,紫,黑
秋香色,64.79442857,6.273,52.28471429,流黄,黄
苍黄,58.43978853,2.152596376,38.66645201,流黄,黄
