color,from,l,a,b,parent
少艾,故宫里的色彩美学_郭浩,90.787,-15.179,39.427,黄
翠缥,故宫里的色彩美学_郭浩,80.116,-29.27,70.604,黄
人籁,故宫里的色彩美学_郭浩,71.762,-29.51,69.043,黄
水龙吟,故宫里的色彩美学_郭浩,63.92,-29.619,57.069,黄
虎黄,绞丝染色基本色谱_何进丰,68,42,70,黄
迎春黄,中国色名综览_凑幸卫,91.05366463,-7.010262145,79.09664939,黄
肉红,DIC中国传统色,52.253,29.285,2.748,白
月白,乾隆色谱_刘剑,43,-7,-14,白
月白,中国色名综览_凑幸卫,91.08171916,-6.844989068,-6.342586645,白
石蕊红,中国色名综览_凑幸卫,83.85831649,27.16003426,-3.178163793,白
淡肉色,中国色名综览_凑幸卫,94.72379792,8.047384243,20.0667779,白
浅驼色,色谱_perchouli,79.481,2.75,39.001,白
嘉陵水绿,色谱_perchouli,81.336,-22.632,21.001,白
嘉陵水绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,白
嫩荷绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,绿
嘉陵水绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,白
嫩荷绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,绿
星蓝,中国色名综览_凑幸卫,84.92374055,2.284669575,-16.4110387,白
井天蓝,中国色名综览_凑幸卫,76.53042039,1.346632046,-20.18436299,白
海天蓝,中国色名综览_凑幸卫,83.83954734,-12.28285877,-9.474831036,白
丁香淡紫,中国色名综览_凑幸卫,81.33361194,23.30438266,-14.20213338,白
芝兰紫,中国色名综览_凑幸卫,81.34800824,28.55103253,-6.509152136,白
淡牵牛紫,中国色名综览_凑幸卫,74.08338442,20.49936847,-16.39394907,白
淡蓝紫,中国色名综览_凑幸卫,71.58994197,16.43810277,-18.60686315,白
银灰,色谱_perchouli,54.735,4.108,9.977,白
荷花白,中国色名综览_凑幸卫,95.16009527,11.31725727,0.483818512,白
海参灰,中国色名综览_凑幸卫,43.46638244,1.671854992,-12.05895544,白
浅鲜绿,DIC中国传统色,87.003,-16.213,0.173,白
凝脂,故宫里的色彩美学_郭浩,98,-5.588,8.298,白
半见,故宫里的色彩美学_郭浩,97.785,-6.761,25.473,白
女贞黄,故宫里的色彩美学_郭浩,93.425,-6.612,32.634,白
云门,故宫里的色彩美学_郭浩,81.436,-11.911,-12.967,白
碧落,故宫里的色彩美学_郭浩,81.991,-4.611,-18.46,白
漂净肤色,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,83.92,23.7,19.4,白
密陀僧,中国美色_中国国家地理,65.773,28.634,42.706,黄
水晶末,中国颜色_黄仁达,65.773,28.634,42.706,白
浅湖绿,绞丝染色基本色谱_何进丰,83,-19,6,白
浅蜜,涤棉色谱_何进丰,99,-3,22,白
浅嫩黄,涤棉色谱_何进丰,94,-11,28,白
莲瓣白,中国色名综览_凑幸卫,93.53874898,3.702998579,-12.20551244,白
