color,l,a,b,subparent,parent
香水玫瑰黄,85.93068949,5.180325903,33.48603644,黄,黄
香蕉皮,78.048,-0.362,67.625,黄,黄
香蕉黄,79.84653983,-3.467812131,73.97288621,黄,黄
骆驼色,73.674,7.445,23.739,黄,白
骍刚,77.41,20.387,30.962,黄,黄
鸡蛋黄,79.90256544,18.67872427,68.64246499,黄,黄
鹅掌黄,80.30158134,17.78486219,64.93979315,黄,黄
鹅黄,78.36183333,6.805833333,61.24233333,黄,黄
鹦鹉冠黄,83.77698371,5.382188283,56.27058031,黄,黄
鹿皮色,74.98,5.887,34.076,黄,黄
麦秆黄,89.97195389,-2.26946014,45.07574206,黄,黄
麦芽糖黄,88.47344001,7.811506724,33.38528028,黄,黄
黄,79.211,7.522,74.10525,黄,黄
黄不老,68.573,14.958,60.205,黄,黄
黄封,73.294,-0.115,35.821,黄,黄
黄栗留,88.481,-2.085,64.432,黄,黄
黄河琉璃,73.007,13.381,55.311,黄,黄
黄琉璃,69.176,7.109,51.383,黄,黄
黄白游,96.031,-10.313,46.092,黄,黄
黄色,85.668,0.052,52.861,黄,黄
黄莲黄,75.97755419,17.00461456,71.28798751,黄,黄
黄连黄,82.21,6.196,81.408,黄,黄
黄金色,77.356,1.1855,63.491,黄,黄
鼬黄,76.42744642,20.31136939,78.53650744,黄,黄
丁香淡紫,84.47080597,15.43269133,-7.943566691,白,白
丁香褐,65.178,11.826,15.584,白,白
东方白,73,-3,-3,白,白
中石蕊红,73,16,-1,白,白
中肉,74,10,12,白,白
乳棕,76.138,-1.305,23.749,白,白
乳灰,74.388,-1.833,15.277,白,白
乳白,90.66319983,-0.524620091,7.159534558,白,白
乳黄色,89.254,-2.253,24.3,白,白
二目鱼,88.927,-1.578,3.303,白,白
云峰白,82.78188897,-0.409886359,-9.558193196,白,白
云母,77.285,0.557,7.562,白,白
云母白,93.522,-0.437,1.449,白,白
云水蓝,77.58890393,0.374490227,-12.20898847,白,白
云灰,79.733,-5.811,-0.868,白,白
云门,81.436,-11.911,-12.967,白,白
井天,78.476,-11.576,-5.566,白,白
井天蓝,80.64321019,-1.868683977,-13.1971815,白,白
介壳淡粉红,83.64905284,16.66523953,14.54488531,白,白
仙米,81.112,-1.189,16.892,白,白
余白,82.321,-4.572,6.243,白,白
假山南,78.979,2.422,16.042,白,白
冰台,79.958,-7.573,8.083,白,白
冻缥,77.748,-4.091,7.063,白,白
凝脂,98,-5.588,8.298,白,白
凤仙粉,75.909,19.614,6.474,白,白
凤信紫,72.61872272,15.62919765,-11.13871368,白,白
初桃粉红,86.67381781,10.82411852,7.546506772,白,白
十样锦,79.4435,19.739,14.45,白,白
半见,97.785,-6.761,25.473,白,白
卵色,88.846,-7.395,5.716,白,白
吉量,93.258,-3.098,6.544,白,白
咸池,73.642,17.949,6.928,白,白
地籁,83.509,1.757,15.081,白,白
夏籥,74.06,9.967,13.977,白,白
夕岚,75.899,21.496,1.547,白,白
大理石灰,81.84912423,1.475586886,-7.274814422,白,白
天球,88.305,-3.893,12.388,白,白
天缥,91.233,-9.101,2.377,白,白
奶棕,67.488,7.933,8.75,白,白
奶绿,79.772,-10.359,8.296,白,白
如梦令,78.002,7.242,21.765,白,白
嫩菊绿,93.97866533,-6.163410199,5.716582064,白,白
山岚,82.178,-10.993,9.127,白,白
山矾,95.965,0.49,0.716,白,白
岩赭石,69.51,9.77,5.04,白,白
弗肯红,87.768,3.641,11.231,白,白
影青,80.84,-3.37,-5.109,白,白
扶光,81.686,11.988,22.318,白,白
指甲红,81.3064612,14.91992127,2.376085444,白,白
断肠,92.196,-6.311,20.073,白,白
方解末,83.97,1.56,7.1,白,白
无花果红,75.92273978,23.55412884,6.458307216,白,白
昌荣,82.646,11.963,-10.197,白,白
明月珰,84.406,-1.252,4.571,白,白
星蓝,78.49387028,-1.591665213,-16.64751935,白,白
星郎,83.729,-4.063,-12.034,白,白
春绿,82.991,-7.558,15.192,白,白
晓灰,76.86566187,6.387730738,6.792832099,白,白
晴山,75.102,-1.094,-18.728,白,白
月影白,77.15135583,1.377893966,-5.8067265,白,白
月白,85.0134766,-4.197165756,-4.014798887,白,白
月魄,73.739,-1.397,-0.489,白,白
杏皮,67.5,9,18.5,白,白
果肉色,82.642,10.443,16.696,白,白
桃夭,82.159,21.545,2.754,白,白
梅子青,83.438,-11.948,14.568,白,白
棕灰,68.5,6.9,8.1,白,白
槐花,90.3,3.3,10.6,白,白
樱花,79.375,20.531,-8.54,白,白
樱花红,85.52729296,10.94925146,-3.30517337,白,白
水红,76.80682991,19.20499759,2.316586375,白,白
水蓝,89.188,-5.258,-3.985,白,白
水黄,81.64,-10.768,15.306,白,白
汉白玉,96.316,0.13,3.837,白,白
沧浪,82.435,-14.438,2.471,白,白
洋水仙红,84.17862545,17.54888156,5.461747688,白,白
浅中灰,74.54,1.1,1.72,白,白
浅云,93.88,-0.787,-1.912,白,白
浅兰绿,85,-16,-1,白,白
浅妃,90,17,6,白,白
浅嫩黄,94,-11,28,白,白
浅月灰,74,-4,5,白,白
浅果绿,83.5,-13,12,白,白
浅棕灰,86.02,-1.126,11.221,白,白
浅水绿,89.526,-10.324,-0.193,白,白
浅波根红,82,21,4,白,白
浅湖兰,83.75,-10,-2.75,白,白
浅湖绿,86,-14.5,5,白,白
浅灰,70.8054,-0.9193,-0.281,白,白
浅玉,88,3,17.5,白,白
浅玉色,88.5,5,20,白,白
浅米黄,73,3,19,白,白
浅粉,90.664,5.882,-3.777,白,白
浅粉兰,84,-3,-2,白,白
浅肉,77.5,13,16.5,白,白
浅肉粉,88.216,1.844,17.134,白,白
浅芽绿,83,-6,19,白,白
浅藤紫,78.786,2.466,-6.492,白,白
浅蜜,99,-3,22,白,白
浅蜜黄,94,-3,26,白,白
浅豆沙,70,6,12,白,白
浅雪灰,79,11,4,白,白
浅青瓷釉色,87.03,-7.382,3.554,白,白
浅鲜绿,87.003,-16.213,0.173,白,白
海参灰,71.54819122,0.654427496,-5.017477718,白,白
海天蓝,79.98718245,-10.10128626,-8.988277012,白,白
海沬绿,90.36,-8.33,18.951,白,白
润红,83.93548798,15.97421941,10.00781838,白,白
淡桃红,79.92950459,17.75265245,10.53531646,白,白
淡牵牛紫,76.39146147,12.93445616,-7.658983023,白,白
淡米粉,89.87526818,6.582483493,3.831523603,白,白
淡米色,90.592,-5.808,22.472,白,白
淡粉,74.178,19.64,-2.742,白,白
淡绯,83.00249711,16.84103728,2.159418219,白,白
淡翠绿,85.90773111,-10.27496554,3.24962624,白,白
淡肉色,92.38539896,4.634692122,23.30888895,白,白
淡芍药红,83,15,8,白,白
淡藕荷,81.056,6.485,-8.938,白,白
淡藤萝紫,91.75938287,6.480981783,-3.336705921,白,白
淡郁金红,76.00721825,15.3526361,-0.882280332,白,白
淡银灰,72.51399248,6.168841368,7.438564721,白,白
淡青,83.616,-1.54,-12.401,白,白
淡青紫,82.786,9.924,-1.398,白,白
淡青莲,81.34793178,17.02357815,-13.89570045,白,白
淡驼,70,5,14,白,白
淡黄,90.766,-3.428,28.473,白,白
湖水蓝,82.15465224,-7.196083241,-12.91226831,白,白
溶溶月,77.97,-2.489,2.529,白,白
漂净肤色,83.92,23.7,19.4,白,白
灰白色,87.11443579,1.458064303,2.163156877,白,白
炒米,78,8,18,白,白
牙妃,86,12,13,白,白
牙色,84.45577343,2.904352152,21.11133961,白,白
牙黄,88.014,-3.123,24.606,白,白
玉白,92.5885,-1.0405,2.1905,白,白
玉簪绿,79.76144279,-11.93914006,0.698291562,白,白
玉粉红,75.95723605,16.22970981,20.91243377,白,白
玉頩,91.269,1.336,1.57,白,白
玛瑙灰,78.15933964,4.562244188,-4.127065365,白,白
玻璃绿,76.53155533,-7.690831721,1.771127841,白,白
珍珠灰,89.006,0.309,4.515,白,白
珠子褐,70.447,6.167,8.602,白,白
瓷白,94.809,-0.256,0.113,白,白
甘石,73.464,3.909,1.404,白,白
甘石粉,87.8095,2.115,6.1155,白,白
白,100,0,0,白,白
白珊瑚,97.57,0.77,3.45,白,白
白皮松绿,85.26932165,-7.927968799,-2.001322071,白,白
白粉,90.573,3.198,7.865,白,白
白色,95.001,-0.007,-2.001,白,白
百灵鸟灰,72.39109559,2.155077772,11.68439353,白,白
皦玉,93.727,-2.06,2.548,白,白
盈盈,88.101,15.828,-2.915,白,白
真丝绸色,85.986,4.139,22.422,白,白
石英,75.652,7.268,-0.206,白,白
石蕊红,81.41377216,19.61601142,1.997278736,白,白
碧玉,84.31,-16.99,18.44,白,白
碧落,81.991,-4.611,-18.46,白,白
秋波蓝,73.79964717,-5.961514673,-15.64084976,白,青
穹灰,84.582,-6.539,-1.684,白,白
穹灰蓝,84.313698,-4.628188053,-9.140101641,白,白
立德粉,91.052,-0.377,3.095,白,白
竹篁绿,84.62261416,-14.04143189,2.652256078,白,白
筠雾,83.339,-4.378,17.896,白,白
米汤娇,92.589,-1.535,8.73,白,白
米灰,77.914,-1.89,10.068,白,白
米红,76.651,7.955,19.311,白,白
粉,80.7,17.1,-7.8,白,白
粉凤仙,76.963,18.966,-2.396,白,白
粉棕,79.086,3.163,13.514,白,白
粉白,92.24172217,4.253445236,5.269053475,白,白
粉米,83.067,16.815,0.776,白,白
粉色,94.608,-0.518,2.336,白,白
粉蓝,86.506,-7.365,-7.416,白,白
素采,87.556,-2.269,-3.005,白,白
紫水晶,73.833,14.087,-16.062,白,白
练色,93.88566667,-0.073,4.271,白,白
绣球绿,76.53166026,-6.888890697,4.488978,白,白
绯,80.959,16.444,5.067,白,白
缟,88.259,0.95,4.071,白,白
缟羽,94.447,0,0,白,白
缟色,88.195,0.861,4.813,白,白
缣缃,80.735,-1.725,21.687,白,白
羽毛灰,79.411,-3.448,-4.02,白,白
翠屏绿,83.88772314,-5.591200478,7.356652701,白,白
老银色,76.203,-3.547,-1.695,白,白
肉棕,72.2,6.161,20.523,白,白
肉粉,81.449,12.049,11.226,白,白
肉红,72.43866667,16.77933333,5.95,白,白
肉黄,76.663,14.195,18.398,白,白
胡粉,89.434,-0.297,3.935666667,白,白
艾背绿,89.29033176,-7.865410322,5.40964709,白,白
艾褐,72.17,1.94,14.62,白,白
芝兰紫,82.97100412,19.92201627,-3.119576068,白,白
芡食白,87.24340315,4.780369819,-5.853244225,白,白
芦黄,79.303,5.138,19.806,白,白
花白,77.36,-1.994,-5.322,白,白
芽灰,79.001,-2.521,15.963,白,白
苍烟落照,75.191,6.429,3.48,白,白
苍白,81.432,-1.357,-6.496,白,白
茧白,83.88743585,4.628208094,-11.74547833,白,白
草珠红,90.00739616,8.355803168,-1.813341952,白,白
草白,77.329,-4.895,11.863,白,白
荔肉白,91.36741048,2.356708496,11.7123654,白,白
荧光白,87,3,13,白,白
荧光蓝,83.88724477,3.37717425,-11.70737288,白,白
荷花白,93.48596917,8.199040744,3.648629066,白,白
荼白,91.632,-2.439,0.579,白,白
莲子白,85.59002652,2.206607835,16.41003107,白,白
莲瓣白,93.53874898,3.702998579,-12.20551244,白,白
菊绿,82.23918206,-7.789206559,1.760164092,白,白
菊蕾白,86.43058906,0.234591927,15.8482917,白,白
落英淡粉,91.91841118,5.178835054,10.23283804,白,白
葭灰,73.085,3.423,5.245,白,白
葭菼,84.581,-7.658,7.377,白,白
葱青,93.669,-9.956,25.714,白,白
蓟粉红,80.21324818,11.16638655,-2.307573636,白,白
藕丝秋半,82.159,1.72,3.973,白,白
藕红,80.8,17.8,8.4,白,白
藕色,70.73,8.6,10.7,白,白
藕荷,80.32783923,12.25150058,5.259268131,白,白
藤紫,72.22,6.28,-1.79,白,白
蚌肉白,95.30348336,1.590223695,11.05005909,白,白
蛋青,76.9647876,-10.15159108,-8.308622016,白,白
蛛网灰,67.467,5.999,10.919,白,白
蛤粉,91.35666667,-0.393,6.475,白,白
蜜合,86.099,-0.768,11.344,白,白
蜡白,89.625,-2.03,9.6075,白,白
蜡黄,89.525,-5.285,16.766,白,白
行香子,74.935,-2.741,15.502,白,白
豆汁黄,93.53204612,1.772319791,15.72749698,白,白
象牙白,90.75525,1.20125,9.697,白,白
远天蓝,80.60209414,-2.713896094,-7.587387077,白,白
远山紫,81.82638997,6.656395551,-9.261492767,白,白
退红,80.809,15.0955,0.7095,白,白
逍遥游,76.476,-3.669,-3.547,白,白
酂白,97.206,-4.57,9.737,白,白
酪黄,90.20343762,4.881535108,24.89807092,白,白
钟乳灰,85.244264,4.615250457,-11.70617572,白,白
铅灰,76.619,-2.3035,5.444,白,白
铅白,92.0925,0.089,0.2495,白,白
银白,88.30012762,1.513327261,-0.412401974,白,白
银色,82.8202,1.0208,-4.1352,白,白
银蓝,77.545,0.415,-8.955,白,白
银鱼白,82.46944587,1.139680787,-6.536321042,白,白
锈绿,79.458,-8.616,11.106,白,白
雨后桃红,87.25889274,10.90944049,-3.450717774,白,白
雪灰,77.6955,9.238,-5.319,白,白
雪白,92.91466667,0.005666667,3.43,白,白
雪色,94.553,0.422,-1.485,白,白
霜地,79.561,-2.467,8.141,白,白
霜色,91.8585,-0.5875,-2.8995,白,白
青白玉,79.057,-4.312,19.23,白,白
韶粉,88.787,-2.772,7.834,白,白
香妃,83.68,4.54,17.31,白,白
香炉紫烟,82.855,4.227,-4.092,白,白
香皮,84.086,0.344,6.804,白,白
马蹄莲绿,85.81844407,-5.607073114,7.463545164,白,白
马鞭草紫,86.21885392,9.603809193,-5.497246125,白,白
骨缥,90.195,-1.862,14.661,白,白
鱼肚白,91.84725,0.85825,2.17725,白,白
鸡骨白,79.699,0.168,5.006,白,白
鸥蓝,79.98362943,-0.142680879,-6.926975149,白,白
鸭卵青,87.285,-4.637,-0.821,白,白
鸽灰,76.579,-5.24,-0.418,白,白
鹿角棕,80.09401795,10.88110243,22.57880128,白,白
黄润,85.626,-1.796,15.945,白,白
黄灰,74.383,-4.484,7.007,白,白
黄粱,74.743,-0.384,17.457,白,白
黑曜石末,70.51,2.25,15.78,白,白
鼠鼻红,76.0463266,20.74104838,-0.851110667,白,白
龙泉青瓷釉色,77.567,-8.847,9.418,白,白
䒌靘,30.319,4.261,-11.381,黑,黑
丁香棕,43.96959239,14.69246505,17.33038393,黑,黑
上青,24,1.8,-15.4,黑,黑
中灰驼,44.67978115,8.881769037,8.891570822,黑,黑
乌梅紫,19.11653328,11.79013839,-8.790795359,黑,黑
乌色,33.388,4.452,-1.495,黑,黑
乌黑,18.663,1.485,-3.2235,黑,黑
云杉绿,18.61599239,-13.18432159,2.487413523,黑,黑
京元,20.503,-1.789,3.671,黑,黑
伽罗,39.987,2.166,20.396,黑,黑
佛头青,21.259,7.415,-29.675,黑,黑
元色,20,-3,-1,黑,黑
元青,23.86175,0.11925,1.95375,黑,黑
冥色,40.484,-0.461,11.332,黑,黑
剑锋紫,34.74799596,6.003776649,-8.318252232,黑,黑
劳动布色,32.174,4.219,-19.389,黑,黑
包头青色,40.74,0.81,5.46,黑,黑
卵石紫,26.198012,17.85948485,0.940423616,黑,黑
古代朱,31.37,8.54,4.53,黑,黑
古铜,39.5,12,18,黑,黑
古铜绿,36.58259402,3.805096066,20.29628636,黑,黑
古鼎灰,30.86091244,8.505089336,-6.055393701,黑,黑
可可棕,28.13021049,19.15845821,10.6051894,黑,黑
墨色,28.4862,-0.775,-2.1104,黑,黑
墨黪,35.157,0.53,6.759,黑,黑
将校呢,40.122,-0.343,12.653,黑,黑
岩岱赭,39.34,18.46,12.96,黑,黑
巧格力棕,32.87557212,14.50002448,6.44645865,黑,黑
帝释青,21.208,3.37,-30.456,黑,黑
承德皂,41.4105,-0.299,3.615,黑,黑
斑鸠灰,27.55189122,17.5021614,-3.968988749,黑,黑
晶石紫,18.64182518,8.678167394,-18.9200787,黑,黑
暗灰肤色,38.55,12.51,11.13,黑,黑
暗玉紫,31.65502154,23.97777604,9.498856007,黑,黑
暗砖灰,43.04759374,10.31892209,5.341732047,黑,黑
暗蓝,24.01975677,-0.375823677,-14.32143283,黑,黑
暗蓝紫,13.24360737,5.759171948,-19.05979564,黑,黑
暗驼棕,27.99994444,19.24443253,8.882248481,黑,黑
暗龙胆紫,21.90416847,5.316874527,-11.04451972,黑,黑
曾青,35.289,5.202,-10.701,黑,黑
木兰,25.72,25.594,20.544,黑,黑
朱古力色,44.864,6.067,12.914,黑,黑
李紫,21.31199693,19.63361356,1.177694796,黑,黑
松鼠灰,41.14386158,3.042784373,11.17162789,黑,黑
枣紫,25.704,20.576,5.738,黑,黑
枣褐,36.8571825,14.30712446,13.75691023,黑,黑
柞叶棕,29.79071571,24.14051478,20.90380549,黑,黑
栗棕,25.90510746,26.79449615,15.16226764,黑,黑
栗紫,26.70935139,27.64071136,11.01444934,黑,黑
栗色,24.724,29.51,17.204,黑,赤
棕红,35.0745,15.9015,11.8465,黑,黑
槲寄生绿,28.42962339,-5.430212459,1.348695782,黑,黑
橡树棕,38.40386674,18.41597789,13.6143009,黑,黑
毛青,27.21,-0.13,-24.75,黑,黑
水牛灰,30.93976753,2.518231269,-8.075139205,黑,黑
沙鱼灰,28.80295571,3.261279895,-8.757983372,黑,黑
河豚灰,37.35855513,-3.685460951,1.460484231,黑,黑
油烟墨,31.5435,-0.856,1.8255,黑,黑
油葫芦,34.476,5.71,20.268,黑,黑
油青,29.202,1.826,18.591,黑,黑
沼绿,33.72245366,-6.660582759,-3.142163348,黑,黑
海报灰,23.592,9.314,4.363,黑,黑
海豹灰,44.37448298,10.28619604,5.251567421,黑,黑
淡松烟,39.78959305,3.547999317,11.13330493,黑,黑
淡栗棕,34.59365271,18.40191566,13.98651297,黑,黑
淡铁灰,42.89319063,10.22375962,5.938975981,黑,黑
深上兰,25,2,-24,黑,黑
深上青,27.55555556,0.111111111,-11.22222222,黑,黑
深咖啡,34,6,8,黑,黑
深墨绿,29,-10.33333333,-3,黑,黑
深景兰,29,5,-25,黑,黑
深栗色,37.638,5.935,6.107,黑,黑
深毛蓝,31.607,1.127,-16.493,黑,黑
深海绿,31.67177005,-13.80377685,-0.985766406,黑,黑
深灰,36.72266667,-1.004888889,-4.936,黑,黑
深灰蓝,29.6388252,-8.744041578,-8.946654536,黑,黑
深烟,39.076,3.63,1.317,黑,黑
深烟红,25.871,13.204,-0.917,黑,黑
深牵牛紫,17.65273841,14.5713822,-10.60236529,黑,黑
深紫酱,28,22,5,黑,黑
深草绿,37,-9.166666667,12,黑,黑
深蓝,27.9354,0.8942,-23.266,黑,黑
深褐色,30.274,1.834,6.053,黑,黑
深釉红,31.753,15.958,7.257,黑,黑
深金驼,41,5,16,黑,黑
深铁灰,26,-3,-4,黑,黑
深铬绿,33.66676676,-10.41928816,3.312994733,黑,黑
深鼻烟,38,9,10,黑,黑
漆黑,14.2545,1.942,-1.7425,黑,黑
火山棕,26.84487598,15.79746214,8.282056098,黑,黑
火鹅紫,11.262,16.986,0.359,黑,黑
灯草灰,25.8995,0.4815,0.777,黑,黑
灰肤色,39.78,15.13,13.78,黑,黑
烟墨,34.846,5.756,-1.849,黑,黑
烟栗色,27.9895,5.3615,5.1125,黑,黑
烟色,34.573,6.877,10.482,黑,黑
焦茶绿,36.81336045,4.572179695,25.74412573,黑,黑
煤烟色,35.149,-8.27,-7.845,黑,黑
煤黑,21.293,3.794,4.878,黑,黑
燋茶色,42.371,-3.186,10.93,黑,黑
燕颔蓝,28.51621553,0.698347977,-9.752816393,黑,黑
牛角灰,32.24513816,2.653786824,-8.691246495,黑,黑
特元色,29,10,-4,黑,黑
特咖啡,31.5,2.5,4.5,黑,黑
犀角灰,40.23087902,10.61819566,5.80003648,黑,黑
猪肝紫,27.36780634,21.26192469,1.797493188,黑,黑
獭见,10.544,0.33,-9.264,黑,黑
玄天,38.148,10.229,1.312,黑,黑
玄色,21.56775,14.799,10.48825,黑,黑
玄青,27.714,5.438,-8.614,黑,黑
玛瑙红,17.014,20.945,14.627,黑,黑
珠母灰,44.37680852,9.8235195,8.874943011,黑,黑
瑾瑜,15.261,-0.578,-8.445,黑,黑
璆琳,20.926,6.02,-10.006,黑,黑
瓦罐灰,38.33035301,2.077980227,-7.330892535,黑,黑
电气石末,26.93,-0.33,4.12,黑,黑
百草霜,25.901,0.3225,-0.3975,黑,黑
皂,26.00875,2.26875,4.40325,黑,黑
目童子,25.628,16.785,18.115,黑,黑
砖褐,34.767,14.3438,15.5606,黑,黑
福色,26.036,26.958,10.46,黑,黑
笋皮棕,41.217056,15.47760353,18.28919029,黑,黑
粗晶皂,31.6335,1.4925,-2.8225,黑,黑
素綦,35.102,-2.887,19.631,黑,黑
紫檀,25.319,15.331,6.1355,黑,黑
紫檀色,23.029,13.603,9.999,黑,黑
紫砂色,28.66,19.046,15.936,黑,黑
紫绛色,26.672,22.486,1.172,黑,黑
紫蓝,8.579,22.482,-21.008,黑,黑
紫铜,34.4,8.866666667,7.033333333,黑,黑
紫黑,25.9,9.4,-8.6,黑,黑
紫鼠,33.943,7.658,-4.461,黑,黑
红咖啡,25,8,7,黑,黑
红皂,40.409,0.637,-1.709,黑,黑
红紫,25.922,7.722,5.734,黑,黑
红青,18,2,-8,黑,黑
纯黑,21.26,0.86,0.65,黑,黑
纯黑朱,24.31,0.71,-1.32,黑,黑
绀色,25.99833333,-0.239666667,-17.397,黑,黑
绀蝶,19.574,1.898,-8.037,黑,黑
绀青,29.609,5.9045,-21.3265,黑,黑
结绿,38.987,-7.625,9.021,黑,黑
绿云,30.321,-4.188,6.638,黑,黑
缁,27.107,10.436,5.066,黑,黑
缁色,30.6325,10.772,4.2305,黑,黑
罗汉果色,33.542,7.612,14.082,黑,黑
苍绿,37.73467817,-9.103323732,5.359772707,黑,黑
苍艾,32.967,3.606,11.898,黑,黑
苍蝇灰,36.47306822,9.394101925,-0.272527975,黑,黑
苷蓝绿,14.394,-3.902,0.944,黑,黑
茄皮紫,23.18782451,18.0092179,1.774490561,黑,黑
茶褐,42.20557782,13.79346314,20.5656625,黑,黑
草灰色,41.425,0.123,10.863,黑,黑
莽丛绿,20.49566991,-6.058344274,-1.24868887,黑,黑
葛花紫,20.298,27.57,11.819,黑,黑
葡萄灰,35.993,11.915,-0.633,黑,黑
葡萄紫,27.80485513,15.34726498,-8.47555487,黑,黑
葡萄酱紫,24.70476685,31.60426951,13.93794954,黑,赤
葡萄青,30.12,10.62,-4.42,黑,黑
蒽油绿,23.299,-1.331,2.35,黑,黑
蓝采和,27.297,0.099,-30.4,黑,黑
蓝黑,23.7,2.9,-10.2,黑,黑
藏蓝,33.4924,3.1042,-19.7118,黑,黑
藏黑蓝,27.153,5.619,-10.399,黑,黑
蜜褐,28.934,21.767,12.469,黑,黑
蝙蝠灰,39.55730514,-5.01180173,2.916984643,黑,黑
螺子黛,21.625,-11.504,-7.121,黑,黑
螺青,32.055,-11.335,10.253,黑,黑
蟹壳灰,42.14872541,-0.487133914,13.25590469,黑,黑
蟹壳绿,41.1385632,3.474950664,20.85713253,黑,黑
褐红,11.783,9.227,7.605,黑,黑
豆棕,39.28,10.997,4.892,黑,黑
豆沙,39.35409827,18.13505097,12.02692469,黑,黑
豆沙色,45.05,9.77,11.73,黑,黑
貂紫,34.94691245,18.1476323,5.90079552,黑,黑
赭绿,39.6905,-0.399,22.2235,黑,黑
酱棕,27.26215565,26.42287797,13.72328234,黑,黑
酱色,26.562,12.21116667,7.326833333,黑,黑
野葡萄紫,30.95779777,7.638919836,-16.89148387,黑,黑
钛青,25.016,6.879,-15.712,黑,黑
钢蓝,20.58495906,4.964789278,-14.16422705,黑,黑
钢青,21.98034506,1.917587317,-16.48757142,黑,黑
铁青,33.155,0.752,-6.42,黑,黑
长石灰,21.869,0.652,0.943,黑,黑
阴丹士林,28.927,1.027,-26.392,黑,黑
霁蓝,29.364,-0.359,-9.682,黑,黑
青灰,20.938,-0.341,-8.024,黑,黑
青緺,28.629,-8.649,-9.629,黑,黑
青雀头黛,32.407,-0.619,-19.717,黑,黑
青骊,18.114,12.072,15.064,黑,黑
青黛,30.529,5.621,-14.267,黑,黑
靛蓝,28.66666667,3.7455,-26.43416667,黑,黑
驖骊,28.465,-0.37,5.314,黑,黑
驼褐,41.4,9.695,21.962,黑,黑
骐驎,15.897,8.244,-27.615,黑,黑
鸦青,33.159,0.2165,-8.126,黑,黑
鸽蓝,25.66811106,1.408008865,-11.78369686,黑,黑
鹤灰,39.68409305,3.243999317,9.346804931,黑,黑
鹰背褐,41.506,8.81,12.617,黑,黑
麒麟竭,18.099,21.427,13.361,黑,黑
黑,0,0,0,黑,黑
黑咖啡,30,5,8,黑,黑
黑彩,14.726,1.974,3.707,黑,黑
黑棕,32.702,10.7735,15.803,黑,黑
黑紫,22.919,8.88,0.629,黑,黑
黑肤色,30.21,3.43,2.92,黑,黑
黑色,12.514,1.201,-1.546666667,黑,黑
黛色,28.78575,-2.08825,-6.3195,黑,黑
黛蓝,32.82166667,0.596,-12.26566667,黑,黑
黝色,38.119,6.453,1.034,黑,黑
黧,35.382,2.922,11.226,黑,黑
黯,34.929,-3.242,-6.326,黑,黑
龙战,30.778,7.969,25.081,黑,黑
龙葵紫,26.93583852,4.916278487,-9.697613319,黑,黑
中果绿,57,-39,11,绿,青
中棕灰,63.031,-1.038,17.808,绿,青
中驼,53.883,4.836,17.485,绿,青
兰苕,72.285,-12.797,20.189,绿,白
养生主,65.498,4.95,18.115,绿,白
军绿,46.971,-13.824,21.262,绿,青
冬瓜绿,57.715,-23.091,16.535,绿,青
冬绿,56.954,-15.809,11.04,绿,青
出岫,67.51,-7.558,27.221,绿,黄
卡其绿,58.919,-6.755,24.771,绿,青
咖啡棕,50.175,4.273,16.873,绿,黑
墨绿,32.145,-34.474,-0.609,绿,青
夜绿色,52.021,-8.599,7.503,绿,青
大块,69.702,3.201,22.38,绿,白
大绿,33.1,-29.4,11.3,绿,青
大赤金,67.509,-7.783,29.912,绿,黄
嫩绿,69.63804564,-26.0195978,38.0762468,绿,黄
孔雀绿,52.42418567,-35.85606787,5.729430089,绿,青
官绿,40.30666667,-28.224,10.76133333,绿,青
宝石绿,63.74827412,-49.20800019,33.87977323,绿,青
宫殿绿,52.11040413,-39.72301297,13.75727004,绿,青
尘灰,67.04613504,1.918332025,18.2272122,绿,白
巴黎绿,67.17317119,-30.84821144,20.76234452,绿,青
庭芜绿,56.973,-26.189,24.947,绿,青
彩绿,40,-43,0,绿,青
执大象,59.528,-4.63,13.842,绿,青
明绿,75.65162343,-24.64205035,20.47040953,绿,青
明茶褐,56.587,6.266,18.476,绿,青
春碧,64.075,-4.754,14.165,绿,青
春辰,73.992,-18.426,31.515,绿,黄
暗苔绿,44.632,-12.297,9.162,绿,青
杏灰,60.5,7,13,绿,白
松绿,61.5085,-7.3165,23.644,绿,青
松花绿,42.266,-28.353,15.182,绿,青
松花色,43.737,-56.962,23.606,绿,青
果绿,63.5468,-30.9568,25.1154,绿,青
柞蚕绿,56.16101872,-20.96541928,16.63242723,绿,青
柳绿,65.693,-19.2255,24.508,绿,青
柳色,58.571,-20.911,45.378,绿,黄
桂花黄绿,61,-10,22,绿,青
橄榄石绿,73.03531567,-19.38059303,28.97952934,绿,黄
橄榄绿,41.17460391,-5.583304473,30.89897825,绿,黑
欧碧,82.63,-18.276,29.743,绿,白
水绿,46,-22,14,绿,青
沉香,55.374,6.453,14.444,绿,青
油绿,43.68429613,-13.73480355,13.64327617,绿,青
泥灰,56,5,12.7,绿,青
浅嫩绿,81,-25.5,38.5,绿,黄
浅棕,58.7,11.05,17.1,绿,白
浅灰绿,71.57841164,-0.456738724,18.41555524,绿,白
浅瓜皮绿,78,-24,28,绿,白
浅草灰,62,-3,15,绿,青
浅荠菜绿,50,-12,6,绿,青
浅豆绿,59,-11,21,绿,青
浮萍绿,45.48871458,-25.28456699,19.82933216,绿,青
海沫绿,78.42676131,-10.51214659,18.71251547,绿,白
淡墨绿,41,-23,6,绿,青
