color,l,a,b,subparent,parent
石涅,44.562,-1.389,1.411,青,黑
石蕊蓝,71.59690012,13.04425647,-18.17254113,青,白
石青,31.61433333,1.349,-29.95766667,青,黑
砖青,56.5,-6.4,-8.4,青,青
砚灰,53.27228718,-7.460741729,1.942591267,青,青
碧城,32.47,-2.459,-29.723,青,黑
碧青,65.90111287,-16.48035062,-20.37988006,青,青
秋蓝,59.361,-4.505,-9.342,青,青
窃蓝,69.054,-0.328,-27.561,青,青
竹月色,71.10533333,-3.614,-11.588,青,青
竹根青,60.4,-14.1,-12.4,青,青
粉紫,65.9,11.8,-27,青,青
粉青,42.983,-17.595,-5.48,青,青
紫色,57.56,1.372,-32,青,青
紫菂,60.939,10.118,-12.426,青,青
紫藤灰,55.483,6.323,-9.89,青,青
紫藤色,65.061,9.386333333,-15.067,青,白
红藤杖,55.646,7.549,-0.864,青,青
红豆沙,56,12,11,青,黑
织锦灰,61.223,-3.941,-1.358,青,青
绒蓝,41.994,-0.629,-20.784,青,黑
绿灰,45.62569879,-8.81360804,-0.179679825,青,青
缥色,68.278,-12.573,-18.956,青,青
罗蓝灰,39.486,5.596,-13.572,青,黑
羽扇豆蓝,66.43763195,-3.336288606,-25.42707311,青,青
翕赩,47.534,-11.066,3.831,青,青
老灰,51,-1,-6,青,青
育阳染,41.705,-2.064,-8.416,青,黑
胆矾蓝,56.67929849,-18.77066617,-23.73394067,青,青
芦穗灰,66.99111699,8.26209453,-1.196083969,青,白
花青,40.03485969,0.271401412,-29.56287153,青,黑
苍色,46.62575,-12.361,-4.33575,青,青
苍蓝,34.61291973,-12.5684334,-13.39968567,青,黑
苍青,59.932,-3.683,1.389,青,青
苏勃尼青,35.399,1.277,-32.498,青,黑
苔灰,46.167,-5.666,3.713,青,青
荠菜绿,42.46666923,-11.63198997,4.641402797,青,青
莲灰,62.2405,4.6685,-11.402,青,青
菘蓝,50.397,-0.226,-13.111,青,青
葱油绿,43.98652244,-7.196851502,0.230193766,青,青
蓝灰,46.25,-3.4,-15.1,青,青
蓝灰色,69.4785,-2.8025,-8.205,青,青
蓝翠,59.39724699,-16.24274989,-23.67488869,青,青
蕉月,58.835,-4.826,1.938,青,青
藕丝褐,59.346,12.558,4.771,青,白
藕灰,59.574,-1.883,-4.269,青,青
藕褐,55.8,7.7,-10.1,青,青
虹蓝,52.70318145,-1.879426197,-35.43110142,青,青
虾壳青,63.62995803,-5.880297075,-6.108885742,青,青
虾青,57.9638,-6.3764,-2.6866,青,青
蚧青,42,-21,-18,青,青
蛛纲灰,57.32704855,10.46717709,4.655855822,青,青
蜻蜓蓝,51.85455854,-13.83994737,-12.83181041,青,青
蝶翅蓝,52.5938608,-0.113544557,-25.0611954,青,青
蟹灰,50,-6,4,青,青
蟹蓝,56.578,-5.352,-6.665,青,青
蟹青,59.958,-4.693142857,-2.379285714,青,青
豆灰,51,5,3,青,青
赛佛磁蓝,46.46694791,0.045435184,-28.98161241,青,青
软翠,42.285,-16.452,-21.726,青,青
迷楼灰,56.056,8.127,-4.903,青,青
釉蓝,48.33439638,-5.237158576,-37.84065945,青,青
钴蓝,59.76018223,-10.910815,-26.32745388,青,青
铁灰,43.93717706,-2.751279915,1.539619983,青,黑
铅色,48.386,0.413,-4.658,青,青
银灰色,66.64955634,3.325852545,-0.115446784,青,白
银褐,62.912,12.1035,3.7165,青,白
锌灰,55.3810952,4.95835208,-5.440468074,青,青
闪蓝,66.09528345,-8.14674257,-9.275690395,青,青
闪蝶紫,61.917,7.047,-18.951,青,青
雀绿,46.5,-19,-16,青,青
雁灰,50.301,2.382,5.792,青,青
雪蓝,58.5445,6.3905,-32.622,青,青
雪青灰,61.87,2.175,-10.554,青,青
雷雨垂,51.45,-0.974,1.505,青,青
霁色,64.952,-4.1895,-27.162,青,青
青,38.313,-1.532,-31.41583333,青,黑
青兰,39,-3,-26,青,黑
青冥,46.369,0.513,-38.348,青,青
青灰色,44.98726879,0.168774117,-7.382739079,青,黑
青花蓝,35.399,1.277,-32.498,青,黑
青虾,57.79,-6.081,0.935,青,青
青金石末,63.29,-1.57,-10.93,青,青
青金色,53.214,4.811,-20.431,青,青
青雘,42.904,-25.036,-9.955,青,青
青鸾,67.785,-2.49,-6.706,青,青
靛青,41.1978011,3.759915686,-41.08281257,青,黑
靠灰,61.66964242,3.959871231,-15.20304672,青,青
飞泉绿,51.26287479,-12.8032732,-0.742120874,青,青
香松,53,2,0,青,青
鱼尾灰,48.29584688,2.685170192,-9.466633098,青,青
鱼师青,46.902,-16.066,-16.344,青,青
鲸鱼灰,44.5926434,1.181128225,-9.511849418,青,黑
鷃蓝,30.173,-1.177,-28.979,青,黑
鸢尾蓝,57.89800664,-10.72023551,-33.65235763,青,青
鸥灰,54.68742362,-5.195758879,-8.170102591,青,青
鸭头绿,38.501,-21.927,0.035,青,青
鸽子灰,51.57715134,-3.897005469,8.37180074,青,青
鹊灰,41.969,-0.763,-8.605,青,黑
鹑灰,43.46813255,3.589785932,-12.26512254,青,黑
鹨蓝,41.17786731,0.467052178,-24.74771239,青,黑
黄昏灰,41.57004181,-3.272643045,-4.674857648,青,黑
黑朱,44.714,0.518,7.739,青,黑
黑青,55.5,-6.4,-6.2,青,青
黛绿,39.414,-8.425,-5.205,青,黑
黝绿,45.0219634,-13.91343528,5.064869324,青,青
龟背灰绿,45.0424092,-7.021705104,1.834020785,青,青
万寿菊黄,69.77138553,38.58284314,65.86379468,赤,黄
中灰肤色,48.69,28.08,27.62,赤,赤
丹罽,48.099,74.232,56.84,赤,赤
丹色,55.97266667,42.13566667,44.31133333,赤,赤
丹雘,42.682,64.538,45.256,赤,赤
余烬红,56.25777494,28.85649828,34.99371104,赤,赤
光明砂,52.701,40.789,52.837,赤,赤
北瓜黄,72.84317517,33.01367404,50.26005852,赤,黄
大红,48.98833333,61.40266667,46.92766667,赤,赤
媚蝶,54.156,26.314,42.949,赤,黄
宝石红,40.224,60.233,43.086,赤,赤
小红,58.933,35.2845,26.564,赤,赤
岩石棕,46.30814956,22.84270485,31.32666112,赤,赤
拉丝红,44.946,63.434,45.19,赤,赤
旗红,48,62,42,赤,赤
晨曦红,67.1171607,36.27493237,38.03860121,赤,赤
暮色,56.808,39.359,38.224,赤,赤
曙红,43.23075,50.17075,34.2525,赤,赤
曲红,61.22094969,48.35917454,32.38636002,赤,赤
朱土,59.3,19.87,31.7,赤,黄
朱柿,61.124,46.901,44.955,赤,赤
朱槿色,50.179,62.444,43.144,赤,赤
朱殷,43.483,50.011,40.3,赤,赤
朱石栗,37.143,21.009,27.363,赤,赤
朱砂,44.746,52.06966667,40.211,赤,赤
朱红,54.20179923,55.90450448,48.67642671,赤,赤
朱缥,64.48,54.19,51,赤,赤
朱颜酡,71.759,29.213,32.57,赤,黄
杏棕,55,17.5,23,赤,赤
杏红,63.606,36.623,49.747,赤,黄
杏肉,69.5,16,20.5,赤,白
杏色,60.5,18,21.5,赤,赤
极光红,70.31462202,44.1731742,29.03620199,赤,赤
枸枢红,52.528,68.75,45.692,赤,赤
柿子红,54.493,36.51,45.924,赤,赤
柿红,55.7005014,61.03628221,42.18011714,赤,赤
柿黄,62.3,40.5,34.9,赤,赤
树皮色,52.272,15.182,27.045,赤,赤
栗子色,40.11,22.629,40.222,赤,赤
桂红,59.58654729,52.39111782,35.06366665,赤,赤
桔红,58.62,45.62,36.38,赤,赤
桔黄,64.8356,33.9466,42.4054,赤,黄
棕茶色,55.42,16.437,29.361,赤,赤
棕褐,37.866,29.147,28.576,赤,赤
棠梨,48.345,33.336,29.311,赤,赤
棠梨褐,44.371,21.685,24.056,赤,赤
椰壳棕,37.94549207,29.39094435,30.86318951,赤,赤
榴花红,55.01933315,54.6050148,40.2364207,赤,赤
槟榔棕,48.52499542,27.40465971,44.5686138,赤,赤
樱桃红,47.22259954,65.8124833,38.60219645,赤,赤
橘橙,69.61311218,36.17388229,55.09070327,赤,黄
橘红,59.11,44.224,54.88,赤,赤
橘黄,62.772,38.293,47.355,赤,赤
橙色,57.891,30.342,50.018,赤,黄
檀褐,43.078,22.486,29.93,赤,赤
檎丹,54.158,60.446,52.046,赤,赤
法螺红,65.181,38.686,41.844,赤,赤
洛神珠,47.878,58.187,52.528,赤,赤
浅杏色,65,20,27,赤,赤
浅桔红,70,36,37,赤,赤
浅红棕,66,19,27,赤,黄
浅血牙,78.9552,24.9854,21.9664,赤,白
浅驼黄,60,23,43,赤,黄
海天霞,75.12,26.273,20.86,赤,赤
海螺橙,70.71056996,31.32954647,34.5631179,赤,赤
淡可可棕,45.42521717,35.85375815,43.9876636,赤,赤
淡咖啡,49.08668678,16.58461938,21.60901783,赤,赤
淡罂粟红,74.10370935,33.67326113,22.78477303,赤,赤
淡藏花红,79.13723039,27.59218254,21.09493673,赤,白
淡豆沙,40.86509105,26.86848021,26.73673506,赤,赤
淡赭,60.01647284,15.72214042,24.5604207,赤,赤
深桔红,50,56,36,赤,赤
深桔黄,57,56,49,赤,赤
深砖黄,47,39,39,赤,赤
深米棕,66,28,42,赤,黄
深肉色,75,31,35,赤,黄
火泥棕,48.53280089,21.84891253,23.62098865,赤,赤
火焰红,40.771,59.726,41.579,赤,赤
火砖红,56.35044974,37.07479773,37.11825556,赤,赤
烹虾红,55.41472775,54.47100284,34.45810111,赤,赤
燕颔红,61.377,55.446,66.472,赤,黄
牛血红,38.528,55.334,42.242,赤,赤
猩猩血,45.945,66.004,41.37,赤,赤
玛瑙粉,67.297,13.472,24.777,赤,黄
玛瑙色,50.506,23.023,27.212,赤,赤
玳瑁黄,60.44325967,16.99709239,25.48335101,赤,赤
珊瑚红,57.08250226,51.30176057,33.82430241,赤,赤
珊瑚赫,43.125,57.374,44.101,赤,赤
琼琚,62.159,31.497,28.193,赤,赤
瓜瓤红,67.2648015,37.90988966,31.55981423,赤,赤
石榴裙,42.27,47.175,34.159,赤,赤
砖黄,58,35,43,赤,赤
硃膘,49.691,42.628,34.39,赤,赤
章丹,52.55,40.724,43.329,赤,赤
筍皮棕,28.495,28.761,31.816,赤,赤
粉橙色,66.873,26.318,38.757,赤,黄
紫瓯,35.519,19.646,33.114,赤,赤
紫磨金,59.878,18.994,21.775,赤,赤
綪茷,36.067,47.085,33.252,赤,赤
緅絺,37.764,18.955,26.91,赤,赤
纁黄,47.876,41.226,30.773,赤,赤
红扇贝色,56.323,34.913,27.025,赤,赤
红桔,55,43,36,赤,赤
红棕,47,25,23.5,赤,赤
红汞红,58.09125655,58.61415753,43.95846935,赤,赤
绀红,42.93273238,31.27300734,30.28224746,赤,赤
绛色,40.581,55.897,38.06,赤,赤
缊韨,41.986,27.856,31.045,赤,赤
缙云,63.818,42.466,38.072,赤,赤
美人焦橙,65.71284595,40.25183132,56.88242413,赤,黄
老僧衣,48.319,23.694,28.308,赤,赤
芒果棕,45.79246879,24.20772208,33.29054124,赤,赤
芙蓉红,62.70784051,45.97154929,46.19599938,赤,赤
苕荣,61.032,46.495,49.415,赤,赤
茶叶末,36.617,21.629,36.047,赤,赤
荆褐,51.966,12.67433333,20.75833333,赤,赤
草莓红,62.95782093,47.23217673,36.86149998,赤,赤
