color,from,l,a,b,parent
枇杷黄,绞丝染色基本色谱_何进丰,75,31,70,黄
枇杷黄,中国色名综览_凑幸卫,77.47500636,33.76248351,61.9943099,黄
金叶黄,色谱_perchouli,75.185,23.537,77.353,黄
金叶黄,人造丝绸缎色谱_何进丰,70,35,54,黄
金叶黄,中国色名综览_凑幸卫,74.97533446,28.64642311,79.87311926,黄
金莺黄,人造丝绸缎色谱_何进丰,63,23,28,黄
金莺黄,中国色名综览_凑幸卫,75.54566818,24.99619907,38.58466806,黄
软木黄,中国色名综览_凑幸卫,71.59708987,19.81473299,26.84113233,黄
榴萼黄,中国色名综览_凑幸卫,74.54626811,27.16197826,44.15809984,黄
万寿菊黄,色谱_perchouli,68.745,35.771,74.081,黄
万寿菊黄,中国色名综览_凑幸卫,71.56915659,43.97752942,59.51038405,黄
蛋壳黄,中国色名综览_凑幸卫,83.85970391,17.47510237,22.0107544,黄
北瓜黄,色谱_perchouli,69.168,36.067,68.258,黄
北瓜黄,中国色名综览_凑幸卫,76.51835035,29.96034808,32.26211704,黄
姚黄,色谱_perchouli,86.283,-13.419,24.002,黄
姚黄,中国色名综览_凑幸卫,81.33305012,-17.79528388,23.14432264,黄
新禾绿,色谱_perchouli,73.028,-1.553,72.437,黄
枯绿,色谱_perchouli,60.925,5.669,62.646,黄
枯绿,DIC中国传统色,71.385,-7.204,32.513,黄
枯绿,中国美色_中国国家地理,67.208,-3.071,24.015,黄
枯绿,中国色名综览_凑幸卫,61.6566488,1.596613768,48.65944777,黄
芽绿,色谱_perchouli,73.296,-32.611,52.394,黄
芽绿,绞丝染色基本色谱_何进丰,73,-9,20,黄
橄榄黄绿,色谱_perchouli,77.868,-21.394,67.404,黄
橄榄黄绿,人造丝绸缎色谱_何进丰,71,-16,42,黄
橄榄黄绿,中国色名综览_凑幸卫,74.03904161,-24.80874988,58.96662048,黄
槐花黄绿,色谱_perchouli,84.346,-16.111,45.811,黄
槐花黄绿,中国色名综览_凑幸卫,81.33434851,-18.16940048,42.01295182,黄
月灰,色谱_perchouli,71.093,-1.89,17.101,黄
黄金色,中国传统色彩图鉴_鸿洋,79.951,6.587,82.216,黄
槐黄,DIC中国传统色,88.927,-13.895,67.36,黄
杨桃色,DIC中国传统色,85.694,-14.926,50.01,黄
牙绿,DIC中国传统色,88.995,-13.346,37.052,黄
苦瓜绿,DIC中国传统色,85.305,-16.129,38.581,黄
嫩草绿,DIC中国传统色,65.584,-14.742,41.767,黄
雌黄,故宫里的色彩美学_郭浩,59.752,9.963,37.829,黄
雌黄,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,67.66,7.95,36.3,黄
密陀僧,故宫里的色彩美学_郭浩,59.676,-9.729,38.054,黄
密陀僧,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,81.35,12.9,43.11,黄
密陀僧,中国美色_中国国家地理,65.773,28.634,42.706,黄
水晶末,中国颜色_黄仁达,65.773,28.634,42.706,白
黄白游,故宫里的色彩美学_郭浩,96.031,-10.313,46.092,黄
松花,故宫里的色彩美学_郭浩,93.259,-9.55,62.37,黄
黄栗留,故宫里的色彩美学_郭浩,88.481,-2.085,64.432,黄
嫩鹅黄,中国传统色彩图鉴_鸿洋,84.83,-10.414,55.659,黄
少艾,故宫里的色彩美学_郭浩,90.787,-15.179,39.427,黄
桑蕾,故宫里的色彩美学_郭浩,86.474,-2.721,32.864,黄
绢纨,故宫里的色彩美学_郭浩,88.568,-6.811,39.191,黄
青粲,故宫里的色彩美学_郭浩,82.795,-25.759,63.568,黄
翠缥,故宫里的色彩美学_郭浩,80.116,-29.27,70.604,黄
人籁,故宫里的色彩美学_郭浩,71.762,-29.51,69.043,黄
水龙吟,故宫里的色彩美学_郭浩,63.92,-29.619,57.069,黄
柳叶黄,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,67.27,-11.89,66.45,黄
檗黄色,中国颜色_黄仁达,89.583,-5.646,55.479,黄
檗黄色,古色之美_青简,89.268,-1.575,20.536,黄
琉璃黄,中国颜色_黄仁达,76.777,5.07,78.387,黄
萱草色,中国颜色_黄仁达,65.849,31.541,63.55,黄
萱草黄,中国美色_中国国家地理,65.849,31.541,63.55,黄
肉色,绞丝染色基本色谱_何进丰,83,16,29,黄
肉色,中国色名综览_凑幸卫,81.32276633,22.34589151,32.54551212,黄
深米黄,绞丝染色基本色谱_何进丰,83,10,45,黄
虎黄,绞丝染色基本色谱_何进丰,68,42,70,黄
葱黄,中国传统色彩图鉴_鸿洋,69.509,-28.502,60.543,黄
嫩绿,中国传统色彩图鉴_鸿洋,69.509,-28.502,60.543,绿
葱黄,中国传统色彩图鉴_鸿洋,69.509,-28.502,60.543,黄
嫩绿,中国传统色彩图鉴_鸿洋,69.509,-28.502,60.543,绿
紫赤金色,中国传统色彩图鉴_鸿洋,74.022,12.893,75.137,黄
韭黄,涤棉色谱_何进丰,66,-10,43,黄
浅韭黄,涤棉色谱_何进丰,80,-20,53,黄
迎春黄,中国色名综览_凑幸卫,91.05366463,-7.010262145,79.09664939,黄
粉白,色谱_perchouli,95.814,0.518,8.307,白
粉白,色谱_perchouli,95.814,0.518,8.307,白
粉白,中国色名综览_凑幸卫,94.53888866,6.477780944,9.062213901,白
牙色,色谱_perchouli,86.4,0.055,35.42,白
牙色,中国色名综览_凑幸卫,91.08186713,4.76476076,24.69969807,白
淡黄,国标,91.2,-0.9,28.1,白
淡黄,DIC中国传统色,90.332,-5.956,28.846,白
月白,色谱_perchouli,96.455,-3.859,1.367,白
月白,中国颜色_黄仁达,91.474,-2.952,-6.928,白
月白,染作江南春水色_金成熺,70.66,-6.76,-13.43,白
月白,中国色名综览_凑幸卫,91.08171916,-6.844989068,-6.342586645,白
银白,中国色名综览_凑幸卫,91.08176574,9.586963566,-8.973411842,白
淡藤萝紫,中国色名综览_凑幸卫,91.08176574,9.586963566,-8.973411842,白
鹿角棕,色谱_perchouli,78.84,7.066,29.362,白
鼠鼻红,中国色名综览_凑幸卫,74.55165321,23.89009676,-6.174221334,白
石蕊红,中国色名综览_凑幸卫,83.85831649,27.16003426,-3.178163793,白
水红,乾隆色谱_刘剑,68,28,19,白
水红,故宫里的色彩美学_郭浩,77.719,24.344,-0.05,白
介壳淡粉红,中国色名综览_凑幸卫,81.31810567,22.37047905,13.40477061,白
玉粉红,色谱_perchouli,77.361,15.331,20.517,白
玉粉红,中国色名综览_凑幸卫,74.55347211,17.12841962,21.30786755,白
润红,色谱_perchouli,85.539,12.282,14.007,白
草珠红,中国色名综览_凑幸卫,91.08178094,10.56225984,-6.168664219,白
洋水仙红,中国色名综览_凑幸卫,83.85259258,24.82477234,5.934438393,白
无花果红,色谱_perchouli,77.299,23.09,10.259,白
无花果红,中国色名综览_凑幸卫,74.54647957,24.01825769,2.657614431,白
淡桃红,中国色名综览_凑幸卫,74.05900918,23.40430489,9.353632912,白
淡肉色,中国色名综览_凑幸卫,94.72379792,8.047384243,20.0667779,白
酪黄,中国色名综览_凑幸卫,91.08187525,8.652070216,22.70714183,白
浅驼色,色谱_perchouli,79.481,2.75,39.001,白
浅驼色,DIC中国传统色,70.039,3.188,20.662,白
玉簪绿,色谱_perchouli,78.175,-16.6,5.829,白
竹篁绿,色谱_perchouli,85.389,-16.193,6.277,白
淡翠绿,色谱_perchouli,86.479,-12.567,8.481,白
嘉陵水绿,色谱_perchouli,81.336,-22.632,21.001,白
嘉陵水绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,白
嫩荷绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,绿
嘉陵水绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,白
嫩荷绿,中国色名综览_凑幸卫,84.92377881,-22.35779174,18.77042227,绿
艾背绿,色谱_perchouli,91.901,-8.381,9.677,白
艾背绿,中国色名综览_凑幸卫,92.08225844,-8.20633707,1.911572388,白
海沬绿,色谱_perchouli,90.36,-8.33,18.951,白
星蓝,色谱_perchouli,72.064,-5.468,-16.884,白
星蓝,中国色名综览_凑幸卫,84.92374055,2.284669575,-16.4110387,白
云水蓝,中国色名综览_凑幸卫,74.08780786,4.194980455,-15.90497694,白
远天蓝,人造丝绸缎色谱_何进丰,70,-6,-6,白
井天蓝,中国色名综览_凑幸卫,76.53042039,1.346632046,-20.18436299,白
海天蓝,色谱_perchouli,89.122,-10.021,-4.49,白
海天蓝,人造丝绸缎色谱_何进丰,67,-8,-13,白
海天蓝,中国色名综览_凑幸卫,83.83954734,-12.28285877,-9.474831036,白
丁香淡紫,中国色名综览_凑幸卫,81.33361194,23.30438266,-14.20213338,白
芝兰紫,中国色名综览_凑幸卫,81.34800824,28.55103253,-6.509152136,白
凤信紫,中国色名综览_凑幸卫,71.59244544,17.48939529,-14.19542735,白
淡牵牛紫,中国色名综览_凑幸卫,74.08338442,20.49936847,-16.39394907,白
远山紫,中国色名综览_凑幸卫,81.33977994,11.4477911,-13.57098553,白
淡蓝紫,中国色名综览_凑幸卫,71.58994197,16.43810277,-18.60686315,白
银灰,色谱_perchouli,54.735,4.108,9.977,白
芦穗灰,中国色名综览_凑幸卫,61.68123399,11.32818906,-4.847167939,白
象牙白,色谱_perchouli,99.581,-0.706,2.979,白
雪白,色谱_perchouli,99.606,-0.535,2.501,白
雪白,中国传统色彩图鉴_鸿洋,92.138,-2.448,-5.211,白
乳白,色谱_perchouli,96.001,-2.299,12.164,白
荷花白,中国色名综览_凑幸卫,95.16009527,11.31725727,0.483818512,白
蚌肉白,中国色名综览_凑幸卫,95.37596672,4.120447389,10.51711819,白
浅灰,涤棉色谱_何进丰,59,-4,-1,白
浅灰,涤棉色谱_何进丰,64,1,2,白
浅灰,涤棉色谱_何进丰,70,0,4,白
中灰,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,62.56,0.88,1.31,白
星灰,中国色名综览_凑幸卫,64.23665987,2.484280428,-11.54857678,白
海参灰,色谱_perchouli,99.63,-0.363,2.024,白
淡玫瑰灰,色谱_perchouli,64.214,11.233,13.044,白
淡玫瑰灰,中国色名综览_凑幸卫,61.64490383,16.38527543,2.152916086,白
百灵鸟灰,色谱_perchouli,69.58,0.103,13.308,白
肉棕灰,DIC中国传统色,66.655,5.365,14.759,白
肉棕灰,DIC中国传统色,66.655,5.365,14.759,白
乳棕,DIC中国传统色,76.138,-1.305,23.749,白
十样锦,DIC中国传统色,75.086,24.119,13.617,白
十样锦,故宫里的色彩美学_郭浩,83.801,15.359,15.283,白
骆驼色,DIC中国传统色,73.674,7.445,23.739,白
浅桔黄,DIC中国传统色,73.674,7.445,23.739,白
富春纺色,DIC中国传统色,85.998,2.212,26.6,白
深银灰,DIC中国传统色,71.556,-2.603,11.148,白
浅鲜绿,DIC中国传统色,87.003,-16.213,0.173,白
浅水绿,DIC中国传统色,89.526,-10.324,-0.193,白
龙泉青瓷釉色,DIC中国传统色,77.567,-8.847,9.418,白
紫水晶,DIC中国传统色,73.833,14.087,-16.062,白
鸽灰,DIC中国传统色,72.425,-5.581,-3.639,白
雪灰,染色样本士林类_何进丰,70,19,-6,白
瓷秘,故宫里的色彩美学_郭浩,76.666,-7.313,21.123,白
丁香褐,故宫里的色彩美学_郭浩,65.178,11.826,15.584,白
退红,故宫里的色彩美学_郭浩,86.354,14.846,-5.577,白
扶光,故宫里的色彩美学_郭浩,81.686,11.988,22.318,白
葱青,故宫里的色彩美学_郭浩,93.669,-9.956,25.714,白
凝脂,故宫里的色彩美学_郭浩,98,-5.588,8.298,白
半见,故宫里的色彩美学_郭浩,97.785,-6.761,25.473,白
女贞黄,故宫里的色彩美学_郭浩,93.425,-6.612,32.634,白
莺儿,故宫里的色彩美学_郭浩,89.101,-5.069,28.694,白
酂白,故宫里的色彩美学_郭浩,97.206,-4.57,9.737,白
断肠,故宫里的色彩美学_郭浩,92.196,-6.311,20.073,白
天缥,故宫里的色彩美学_郭浩,91.233,-9.101,2.377,白
云门,故宫里的色彩美学_郭浩,81.436,-11.911,-12.967,白
井天,故宫里的色彩美学_郭浩,78.476,-11.576,-5.566,白
碧落,故宫里的色彩美学_郭浩,81.991,-4.611,-18.46,白
星郎,故宫里的色彩美学_郭浩,83.729,-4.063,-12.034,白
晴山,故宫里的色彩美学_郭浩,75.102,-1.094,-18.728,白
盈盈,故宫里的色彩美学_郭浩,88.101,15.828,-2.915,白
鸣珂,故宫里的色彩美学_郭浩,72.913,-5.103,12.521,白
青古,故宫里的色彩美学_郭浩,75.354,-7.128,8.929,白
漂净肤色,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,83.92,23.7,19.4,白
碧玉,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,84.31,-16.99,18.44,白
白珊瑚,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,97.57,0.77,3.45,白
杏皮,染色样本纳夫妥类_何进丰,63,10,20,白
海沫绿,人造丝绸缎色谱_何进丰,72,-7,19,白
海沫绿,中国色名综览_凑幸卫,84.85352262,-14.02429319,18.42503093,白
牙妃,绞丝染色基本色谱_何进丰,86,12,13,白
浅湖绿,绞丝染色基本色谱_何进丰,83,-19,6,白
浅湖绿,涤棉色谱_何进丰,89,-10,4,白
鱼青,绞丝染色基本色谱_何进丰,75,-8,7,白
浅湖兰,绞丝染色基本色谱_何进丰,82,-15,0,白
粉蓝,中国传统色彩图鉴_鸿洋,86.506,-7.365,-7.416,白
浅妃,涤棉色谱_何进丰,90,17,6,白
浅蜜黄,涤棉色谱_何进丰,94,-3,26,白
浅蜜,涤棉色谱_何进丰,99,-3,22,白
浅嫩黄,涤棉色谱_何进丰,94,-11,28,白
浅果绿,涤棉色谱_何进丰,86,-14,11,白
浅果绿,涤棉色谱_何进丰,81,-12,13,白
浅兰绿,涤棉色谱_何进丰,85,-16,-1,白
浅月灰,涤棉色谱_何进丰,74,-4,5,白
浅灰绿,中国色名综览_凑幸卫,71.57841164,-0.456738724,18.41555524,白
玻璃绿,中国色名综览_凑幸卫,76.53155533,-7.690831721,1.771127841,白
石蕊蓝,中国色名综览_凑幸卫,71.59690012,13.04425647,-18.17254113,白
淡青莲,中国色名综览_凑幸卫,81.34793178,17.02357815,-13.89570045,白
莲瓣白,中国色名综览_凑幸卫,93.53874898,3.702998579,-12.20551244,白
白,先秦色彩_肖世孟,100,0,0,白
砖褐,染色样本纳夫妥类_何进丰,41,17,17,黑
枣褐,色谱_perchouli,29.517,28.188,30.276,黑
枣褐,故宫里的色彩美学_郭浩,28.529,19.772,26.896,黑
枣褐,染作江南春水色_金成熺,53.32,22.93,6.16,黑
茶褐,国标,40.6,5.6,25.3,黑
黑棕,中国传统色彩图鉴_鸿洋,36.204,14.847,25.506,黑
赭绿,中国传统色彩图鉴_鸿洋,45.581,1.602,33.347,黑
深蓝,国标,32,-8.6,-22.4,黑
深蓝,染色样本士林类_何进丰,30,5,-37,黑
深蓝,染色样本纳夫妥类_何进丰,28,2,-26,黑
葡萄紫,国标,31.8,22.5,-19.3,黑
葡萄紫,色谱_perchouli,18.559,21.846,6.995,黑
葡萄紫,中国颜色_黄仁达,29.382,19.998,-14.511,黑
葡萄紫,中国传统色彩图鉴_鸿洋,30.079,21.105,-11.252,黑
葡萄紫,中国色名综览_凑幸卫,41.21698588,12.42185484,-0.085884091,黑
丁香棕,色谱_perchouli,30.007,23.982,27.207,黑
丁香棕,人造丝绸缎色谱_何进丰,57,11,18,黑
淡栗棕,中国色名综览_凑幸卫,41.15930542,15.60183133,7.732025933,黑
可可棕,色谱_perchouli,25.5,24.967,22.129,黑
柞叶棕,色谱_perchouli,25.978,27.156,23.485,黑
柞叶棕,中国色名综览_凑幸卫,33.60343141,21.12502956,18.32261098,黑
橡树棕,色谱_perchouli,32.88,24.019,18.737,黑
酱棕,中国色名综览_凑幸卫,33.56931129,25.98675595,10.61356468,黑
淡松烟,色谱_perchouli,28.002,2.878,11.893,黑
砖褐,色谱_perchouli,21.112,28.051,18.446,黑
栗棕,色谱_perchouli,21.112,28.051,18.446,黑
栗棕,中国色名综览_凑幸卫,30.69821491,25.5379923,11.87853527,黑
中灰驼,人造丝绸缎色谱_何进丰,58,2,9,黑
中灰驼,中国色名综览_凑幸卫,46.53034346,10.95630711,3.350712465,黑
古铜绿,色谱_perchouli,27.159,5.965,23.964,黑
古铜绿,中国色名综览_凑幸卫,46.00618803,1.645192133,16.62857272,黑
焦茶绿,色谱_perchouli,27.09,7.376,25.666,黑
焦茶绿,中国色名综览_凑幸卫,46.5367209,1.76835939,25.82225145,黑
蟹壳绿,色谱_perchouli,26.977,5.415,20.718,黑
蟹壳绿,中国色名综览_凑幸卫,55.3001264,1.534901327,20.99626507,黑
深海绿,色谱_perchouli,22.223,-14.77,1.875,黑
深海绿,中国色名综览_凑幸卫,41.1205401,-12.83755371,-3.846532813,黑
苍绿,色谱_perchouli,23.841,-12.876,1.597,黑
苍绿,DIC中国传统色,42.834,-9.354,13.264,黑
苍绿,中国色名综览_凑幸卫,46.54071269,-6.98929493,-3.521909172,黑
莽丛绿,色谱_perchouli,10.231,-5.343,0.598,黑
云杉绿,色谱_perchouli,12.225,-8.287,3.47,黑
云杉绿,中国色名综览_凑幸卫,25.00698478,-18.08164319,1.504827046,黑
槲寄生绿,色谱_perchouli,19.606,-3.81,2.313,黑
钢蓝,色谱_perchouli,6.532,2.584,-11.038,黑
钢蓝,中国色名综览_凑幸卫,34.63791812,7.345578556,-17.29045409,黑
燕颔蓝,色谱_perchouli,8.298,1.575,-9.037,黑
暗蓝,色谱_perchouli,11.299,-0.06,-13.218,黑
暗蓝,中国色名综览_凑幸卫,30.76027032,0.93252897,-21.74629848,黑
深灰蓝,色谱_perchouli,16.398,-7.204,-7.482,黑
深灰蓝,人造丝绸缎色谱_何进丰,39,-9,-9,黑
深灰蓝,中国色名综览_凑幸卫,33.51847561,-10.02812474,-10.35796361,黑
栗紫,色谱_perchouli,19.837,29.86,15.44,黑
栗紫,中国色名综览_凑幸卫,33.58170278,25.42142271,6.588898684,黑
猪肝紫,色谱_perchouli,19.807,25.723,8.943,黑
猪肝紫,中国色名综览_凑幸卫,34.92861268,16.80084937,-5.348013625,黑
李紫,色谱_perchouli,9.027,13.436,2.959,黑
李紫,中国色名综览_凑幸卫,33.59699386,25.83122711,-0.603610407,黑
卵石紫,中国色名综览_凑幸卫,41.21702399,21.7119697,0.214847232,黑
火鹅紫,色谱_perchouli,11.262,16.986,0.359,黑
茄皮紫,色谱_perchouli,7.841,17.765,3.314,黑
茄皮紫,钧瓷色彩的特征与分类体系研究_王庆斌,21.211,18.219,3.101,黑
茄皮紫,中国色名综览_凑幸卫,30.69429804,27.5028716,0.775962242,黑
深牵牛紫,色谱_perchouli,5.504,9.426,-5.522,黑
深牵牛紫,中国色名综览_凑幸卫,29.80147681,19.7167644,-15.68273058,黑
乌梅紫,色谱_perchouli,7.502,7.895,-4.84,黑
乌梅紫,中国色名综览_凑幸卫,30.73106656,15.68527678,-12.74159072,黑
剑锋紫,中国色名综览_凑幸卫,45.06499193,7.364553298,-12.02150446,黑
暗龙胆紫,色谱_perchouli,13.048,4.757,-8.945,黑
暗蓝紫,色谱_perchouli,6.022,6.295,-12.56,黑
野葡萄紫,色谱_perchouli,20.71,8.196,-17.141,黑
野葡萄紫,中国色名综览_凑幸卫,41.20559553,7.081839672,-16.64196774,黑
晶石紫,色谱_perchouli,13.794,9.77,-20.587,黑
晶石紫,中国色名综览_凑幸卫,23.48965037,7.586334789,-17.2531574,黑
白屈菜绿,中国色名综览_凑幸卫,51.57711027,-7.370921902,0.104968463,青
河豚灰,中国色名综览_凑幸卫,51.57711027,-7.370921902,0.104968463,黑
水牛灰,中国色名综览_凑幸卫,42.26353506,3.558462537,-12.33027841,黑
牛角灰,中国色名综览_凑幸卫,45.35727633,3.712573649,-12.13049299,黑
古鼎灰,中国色名综览_凑幸卫,43.46482488,9.744178672,-10.5197874,黑
斑鸠灰,色谱_perchouli,20.943,16.563,-2.205,黑
斑鸠灰,中国色名综览_凑幸卫,34.16078244,18.4413228,-5.732977499,黑
苍蝇灰,中国色名综览_凑幸卫,55.13513644,11.66220385,-1.10105595,黑
淡铁灰,中国色名综览_凑幸卫,55.32238125,10.87551923,2.773951963,黑
珠母灰,中国色名综览_凑幸卫,55.44261705,9.340038999,6.453886023,黑
橄榄灰,色谱_perchouli,27.623,4.766,15.282,黑
橄榄灰,DIC中国传统色,62.003,-8.686,7.118,黑
橄榄灰,染色样本士林类_何进丰,53,-5,9,黑
古铜,涤棉色谱_何进丰,48,17,17,黑
元青,中国美色_中国国家地理,27.503,0.426,8.119,黑
墨色,中国美色_中国国家地理,40.009,-2.646,-9.217,黑
深烟,DIC中国传统色,39.076,3.63,1.317,黑
烟栗色,中国美色_中国国家地理,22.896,7.401,9.019,黑
绀青,中国美色_中国国家地理,24.8,5.687,-25.553,黑
劳动布色,DIC中国传统色,32.174,4.219,-19.389,黑
龙战,故宫里的色彩美学_郭浩,30.778,7.969,25.081,黑
青骊,故宫里的色彩美学_郭浩,18.114,12.072,15.064,黑
目童子,故宫里的色彩美学_郭浩,25.628,16.785,18.115,黑
素綦,故宫里的色彩美学_郭浩,35.102,-2.887,19.631,黑
福色,故宫里的色彩美学_郭浩,26.036,26.958,10.46,黑
驼褐,故宫里的色彩美学_郭浩,41.4,9.695,21.962,黑
螺青,故宫里的色彩美学_郭浩,32.055,-11.335,10.253,黑
青緺,故宫里的色彩美学_郭浩,28.629,-8.649,-9.629,黑
结绿,故宫里的色彩美学_郭浩,38.987,-7.625,9.021,黑
绿云,故宫里的色彩美学_郭浩,30.321,-4.188,6.638,黑
骐驎,故宫里的色彩美学_郭浩,15.897,8.244,-27.615,黑
螺子黛,故宫里的色彩美学_郭浩,21.625,-11.504,-7.121,黑
璆琳,故宫里的色彩美学_郭浩,20.926,6.02,-10.006,黑
帝释青,故宫里的色彩美学_郭浩,21.208,3.37,-30.456,黑
佛头青,故宫里的色彩美学_郭浩,21.259,7.415,-29.675,黑
獭见,故宫里的色彩美学_郭浩,10.544,0.33,-9.264,黑
京元,故宫里的色彩美学_郭浩,20.503,-1.789,3.671,黑
绀色,中国颜色_黄仁达,38.98,3.754,-15.377,黑
绀色,古色之美_青简,15.784,-4.078,-18.882,黑
黑色,古色之美_青简,13.184,-0.521,2.264,黑
漆黑,古色之美_青简,11.573,0.574,1.111,黑
黛色,古色之美_青简,17.076,5.392,-7.181,黑
毛青,染作江南春水色_金成熺,27.21,-0.13,-24.75,黑
栗色,古色之美_青简,24.724,29.51,17.204,黑
深墨绿,涤棉色谱_何进丰,34,-15,-2,黑
深上青,涤棉色谱_何进丰,31,-3,15,黑
玛瑙红,钧瓷色彩的特征与分类体系研究_王庆斌,17.014,20.945,14.627,黑
褐红,钧瓷色彩的特征与分类体系研究_王庆斌,11.783,9.227,7.605,黑
油青,钧瓷色彩的特征与分类体系研究_王庆斌,29.202,1.826,18.591,黑
葛花紫,钧瓷色彩的特征与分类体系研究_王庆斌,20.298,27.57,11.819,黑
黑彩,钧瓷色彩的特征与分类体系研究_王庆斌,14.726,1.974,3.707,黑
煤黑,中国美色_中国国家地理,21.293,3.794,4.878,黑
深草绿,涤棉色谱_何进丰,39,-12,14,黑
深草绿,涤棉色谱_何进丰,40,-13,17,黑
深景蓝,涤棉色谱_何进丰,29,5,-25,黑
笋皮棕,中国色名综览_凑幸卫,41.217056,15.47760353,18.28919029,黑
深铬绿,中国色名综览_凑幸卫,33.66676676,-10.41928816,3.312994733,黑
黑,先秦色彩_肖世孟,0,0,0,黑
嫩绿,国标,81,-22.8,48.7,绿
明绿,国标,67.5,-34,49,绿
明绿,色谱_perchouli,78.107,-21.671,11.578,绿
明绿,中国色名综览_凑幸卫,81.34787029,-18.25515106,0.833228603,绿
湖色,国标,65.6,-39.1,-2,绿
湖色,色谱_perchouli,73.009,-33.462,39.093,绿
湖色,DIC中国传统色,51.397,-12.883,-1.735,绿
湖色,绞丝染色基本色谱_何进丰,75,-28,4,绿
湖色,中国传统色彩图鉴_鸿洋,69.431,-27.421,-0.922,绿
湖色,涤棉色谱_何进丰,61,-31,-4,绿
湖色,中国色名综览_凑幸卫,74.07263347,-28.84811179,24.46280942,绿
葱根绿,古色之美_青简,52.348,-50.354,10.877,绿
葱根绿,中国传统色彩图鉴_鸿洋,70.018,-27.739,48.299,绿
葱根绿,中国色名综览_凑幸卫,64.06300228,-34.25392902,8.085363332,绿
豆绿,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,68.5,-10.2,10.24,绿
豆绿,中国颜色_黄仁达,69.917,-24.071,49.877,绿
豆绿,染作江南春水色_金成熺,69.22,-14.49,7.85,绿
豆绿,古色之美_青简,72.591,-24.302,50.354,绿
豆绿,中国色名综览_凑幸卫,61.66164778,-51.75001546,45.36551962,绿
灰绿,DIC中国传统色,58.551,-9.896,-0.302,绿
灰绿,中国色名综览_凑幸卫,54.13729657,1.793211668,47.29634728,绿
艾绿,色谱_perchouli,83.487,-5.947,6.866,绿
艾绿,中国颜色_黄仁达,60.662,-2.534,43.458,绿
艾绿,古色之美_青简,78.486,-5.743,4.578,绿
艾绿,中国美色_中国国家地理,77.121,-18.246,3.374,绿
艾绿,中国色名综览_凑幸卫,76.53150103,-7.751689312,-1.783782993,绿
果绿,绞丝染色基本色谱_何进丰,56,-32,32,绿
果绿,涤棉色谱_何进丰,66,-37,29,绿
草绿,中国颜色_黄仁达,58.823,-29.772,37.393,绿
草绿,人造丝绸缎色谱_何进丰,55,10,25,绿
黄绿,DIC中国传统色,65.32,-16.007,39.375,绿
青翠,国标,54.6,-54.8,25.2,绿
青翠,色谱_perchouli,58.674,-48.444,23.467,绿
青翠,中国颜色_黄仁达,49.505,-24.25,-6.497,绿
青翠,古色之美_青简,51.025,-61.288,15.826,绿
青翠,钧瓷色彩的特征与分类体系研究_王庆斌,33.009,-19.376,-1.844,绿
青翠,中国美色_中国国家地理,42.719,-28.851,-2.198,绿
青翠,中国传统色彩图鉴_鸿洋,56.969,-49.387,39.147,绿
青翠,中国色名综览_凑幸卫,61.51479085,-44.92446608,5.556893733,绿
祖母绿,国标,51.3,-46.8,12.1,绿
祖母绿,绞丝染色基本色谱_何进丰,55,-38,3,绿
祖母绿,钧瓷色彩的特征与分类体系研究_王庆斌,52.052,-32.968,53.699,绿
官绿,国标,44.7,-34.8,-3.7,绿
官绿,乾隆色谱_刘剑,35,-17,16,绿
官绿,故宫里的色彩美学_郭浩,41.22,-32.872,19.984,绿
橄榄绿,国标,43.5,-0.9,30.5,绿
橄榄绿,色谱_perchouli,35.236,-3.231,36.352,绿
橄榄绿,DIC中国传统色,39.92,-6.167,22.421,绿
橄榄绿,人造丝绸缎色谱_何进丰,46,-11,24,绿
橄榄绿,中国色名综览_凑幸卫,41.21701955,-6.618522363,41.22189127,绿
茶绿,国标,41.2,-2.8,10.3,绿
茶绿,涤棉色谱_何进丰,52,-12,30,绿
蘋婆绿,国标,39.4,-30.3,4.3,绿
蘋婆绿,染色样本士林类_何进丰,38,-41,-7,绿
蘋婆绿,染色样本纳夫妥类_何进丰,32,-22,-8,绿
蘋婆绿,中国传统色彩图鉴_鸿洋,35.791,-11.557,8.141,绿
墨绿,DIC中国传统色,35.88,-8.096,3.864,绿
墨绿,染色样本硫化类_何进丰,27,-7,-6,绿
油绿,国标,34.4,-6.5,3.9,绿
油绿,色谱_perchouli,23.196,-15.453,12.547,绿
油绿,DIC中国传统色,39.607,-6.028,4.401,绿
油绿,中国传统色彩图鉴_鸿洋,59.784,-44.268,43.949,绿
油绿,中国色名综览_凑幸卫,45.02607288,-10.04262484,3.156933198,绿
大绿,国标,33.1,-29.4,11.3,绿
豆青,国标,85.8,-9.4,-7.5,绿
豆青,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,54.23,-5.94,5.5,绿
