color,from,l,a,b,parent
琉璃色,中国传统色彩图鉴_鸿洋,35.626,0.619,-46.419,青
品绿,DIC中国传统色,48.234,-23.372,-10.815,青
青金色,DIC中国传统色,53.214,4.811,-20.431,青
青灰色,中国色名综览_凑幸卫,45.05307515,4.164096469,-18.60995631,青
承德皂,中国美色_中国国家地理,41.795,0.004,6.799,青
沙青,中国美色_中国国家地理,37.355,-10.72,-25.38,青
竹月色,中国美色_中国国家地理,89.089,-0.781,-3.917,青
琉璃蓝,中国颜色_黄仁达,29.245,-0.909,-21.486,青
柏坊灰蓝,中国美色_中国国家地理,29.245,-0.909,-21.486,青
雪蓝,DIC中国传统色,60.56,10.147,-32.954,青
罗蓝灰,DIC中国传统色,39.486,5.596,-13.572,青
铁灰,中国色名综览_凑幸卫,54.18353117,1.970160255,11.32585995,青
濯绛,故宫里的色彩美学_郭浩,45.374,5.34,6.994,青
翕赩,故宫里的色彩美学_郭浩,47.534,-11.066,3.831,青
青雘,故宫里的色彩美学_郭浩,42.904,-25.036,-9.955,青
太师青,古色之美_青简,33.132,-9.198,6.045,青
法翠,故宫里的色彩美学_郭浩,52.703,-26.239,-14.616,青
千山翠,故宫里的色彩美学_郭浩,50.723,-8.727,3.237,青
䌦色,故宫里的色彩美学_郭浩,40.983,-22.77,-4.906,青
碧城,故宫里的色彩美学_郭浩,32.47,-2.459,-29.723,青
蓝采和,故宫里的色彩美学_郭浩,27.297,0.099,-30.4,青
窃蓝,故宫里的色彩美学_郭浩,69.054,-0.328,-27.561,青
暮山紫,故宫里的色彩美学_郭浩,70.783,6.796,-22.555,青
紫菂,故宫里的色彩美学_郭浩,60.939,10.118,-12.426,青
红藤杖,故宫里的色彩美学_郭浩,55.646,7.549,-0.864,青
黑朱,故宫里的色彩美学_郭浩,44.714,0.518,7.739,青
迷楼灰,故宫里的色彩美学_郭浩,56.056,8.127,-4.903,青
石青,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,27.92,6.08,-42.35,青
石青,古色之美_青简,22.008,8.164,-22.207,青
苍色,中国颜色_黄仁达,54.329,-24.42,8.254,青
苍色,古色之美_青简,26.612,-16.525,-14.691,青
缥色,中国美色_中国国家地理,85.517,-8.103,-10.4,青
紫色,中国颜色_黄仁达,43.898,23.171,-32.107,青
紫色,中国美色_中国国家地理,71.222,-20.427,-31.893,青
紫藤色,中国颜色_黄仁达,73.155,5.818,-6.854,青
紫藤色,中国美色_中国国家地理,73.155,5.818,-6.854,青
紫藤色,中国传统色彩图鉴_鸿洋,48.873,16.523,-31.493,青
鸭头绿,古色之美_青简,38.501,-21.927,0.035,青
人熊深蓝,染色样本士林类_何进丰,31,0,-32,青
豆灰,染色样本士林类_何进丰,51,5,3,青
浅豆灰,染色样本士林类_何进丰,59,6,6,青
蟹灰,染色样本士林类_何进丰,50,-6,4,青
深杏灰,染色样本纳夫妥类_何进丰,48,7,11,青
浅雪青,染色样本纳夫妥类_何进丰,51,18,-25,青
浅雪青,绞丝染色基本色谱_何进丰,67,19,-14,青
浅雪青,涤棉色谱_何进丰,61,24,-20,青
浅雪青,涤棉色谱_何进丰,80,11,-12,青
浅雪青,涤棉色谱_何进丰,85,7,-6,青
浅咖啡,人造丝绸缎色谱_何进丰,50,8,10,青
蝙蝠灰,人造丝绸缎色谱_何进丰,34,-3,4,青
荠菜绿,绞丝染色基本色谱_何进丰,41,-11,5,青
深蛋青,绞丝染色基本色谱_何进丰,35,-29,-20,青
深蚧青,绞丝染色基本色谱_何进丰,30,-17,-14,青
深蝶兰,绞丝染色基本色谱_何进丰,49,-31,-14,青
深孔雀兰,绞丝染色基本色谱_何进丰,34,-22,-29,青
晚天兰,绞丝染色基本色谱_何进丰,57,-21,-34,青
浅品兰,绞丝染色基本色谱_何进丰,40,-6,-42,青
深月兰,绞丝染色基本色谱_何进丰,35,-8,-43,青
月兰,绞丝染色基本色谱_何进丰,45,-16,-43,青
暗绿,涤棉色谱_何进丰,42,-11,5,青
深宝兰,涤棉色谱_何进丰,34,-5,-26,青
淡红灰,中国色名综览_凑幸卫,63.59104478,10.83372352,2.064037162,青
黝绿,中国色名综览_凑幸卫,45.0219634,-13.91343528,5.064869324,青
焰蓝,中国色名综览_凑幸卫,71.57970028,4.71825137,-32.92139075,青
田鼠灰,中国色名综览_凑幸卫,42.66473258,3.957085277,-18.37753958,青
蛛纲灰,中国色名综览_凑幸卫,57.32704855,10.46717709,4.655855822,青
赭石,国标,40.1,16.1,19.6,赤
赭石,色谱_perchouli,30.684,40.058,32.479,赤
赭石,DIC中国传统色,56.164,18.088,23.942,赤
赭石,中国美色_中国国家地理,40.453,13.532,23.842,赤
赭石,中国传统色彩图鉴_鸿洋,49.327,18.75,41.11,赤
